,goals,assists,key_passes,xG,xA,time,shots,xGChain,xGBuildup,goals+assists,season,player
0,1,5,24,0.7077541500329971,4.753760911524296,3240,13,17.708984058350325,14.370254408568144,6,2015,Héctor Bellerín
0,0,1,14,1.5609251884743571,1.310375859029591,1996,15,7.412023177370429,4.95493739657104,1,2016,Héctor Bellerín
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2017,Héctor Bellerín
0,0,5,8,0.9265948589891195,2.462862718850374,1429,17,8.280325964093208,5.550644628703594,5,2018,Héctor Bellerín
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Héctor Bellerín
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Héctor Bellerín
0,0,0,8,0.2470814809203148,0.40398005209863186,808,4,3.6744688972830772,3.4662319496273994,0,2014,Filipe Luis
0,1,4,28,0.6238540019840002,1.945187865756452,2833,8,13.200192504562438,11.788193259388208,5,2015,Filipe Luis
0,3,6,34,2.30700580496341,2.9120441172271967,3011,25,12.974662727676332,11.386349024251103,9,2016,Filipe Luis
0,1,2,18,0.2604993460699916,2.166324868798256,1595,5,5.45877380669117,3.8661281932145357,3,2017,Filipe Luis
0,1,2,15,0.7836864180862904,1.281093810684979,1859,9,4.755010697990656,4.296360909938812,3,2018,Filipe Luis
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Filipe Luis
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Filipe Luis
0,0,0,15,0.12875911965966225,1.316965440288186,1595,4,5.798327706754208,4.869970269501209,0,2014,Antonio Valencia
0,0,3,5,0.10079027619212866,0.513319494202733,710,4,2.8996613901108503,2.4097553472965956,3,2015,Antonio Valencia
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2016,Antonio Valencia
0,2,1,22,0.37805643677711487,1.3954298458993435,2476,13,9.484826480969787,8.493168907240033,3,2017,Antonio Valencia
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2018,Antonio Valencia
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Antonio Valencia
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Antonio Valencia
0,0,1,8,0.013158062472939493,0.3461128734052181,797,1,3.017322989180684,2.732888115569949,1,2014,Ben Davies
